"","industry","AUS","AUT","BEL","BGR","BRA","CAN","CYP","CZE","DEU","DNK","ESP","EST","FIN","FRA","GBR","GRC","HRV","HUN","CHE","CHN","IDN","IND","IRL","ITA","JPN","KOR","LTU","LUX","LVA","MEX","MLT","NOR","POL","PRT","ROU","RUS","SVK","SVN","SWE","TUR","TWN","USA"
"29","vG46",8283.8009741466,3581.15888568778,5007.67853133647,9100.74626933085,64163.2035328828,22085.3085686004,331.410043933203,5155.63116204881,23604,8124.79833984375,40158.6186837385,498.280288482199,2400.97417997017,46963.7366279226,22104.1301456911,3954.90052188261,0,1808.90594450638,6686.10129168698,604934.612244389,35806.1854504679,53906.1850370858,1895.34455866923,11238.2401613191,34437.2457255488,26231.5867819467,337.464690230331,310.750163656207,1411.46068085444,27044.0980567601,169.256504506433,4930.38191610249,9936.82927194221,3924.33371414187,5626.13939327625,188354.355246477,38.5489401165454,1044.13587808967,7235.6621523092,15772.16346854,21805.1974480569,19083.2755604989
"30","vG47",22470.1171248209,6017.47340448188,10266.0865456263,2958.65312357686,95071.2994334589,32321.5246371972,107.763521540153,3109.72712084466,66235,9102.15112304688,49316.4012641769,1817.67466654492,9115.1636767005,56558.9311593089,48490.275532333,3101.08982997374,0,6659.52713653282,6297.98643829117,125146.124409603,20878.5163919815,88025.0198695733,4080.26170953755,55163.2028444921,156581.848747676,36619.5131973712,1365.07057766431,1216.12900180005,1778.4790035697,22151.0344437445,426.426266695938,10533.7298995071,16479.2427675057,8807.25109361528,4432.40586590286,81267.8692997851,1825.67721338743,2160.92972008742,13563.0955069486,14393.2386347041,44035.5196827825,37427.4115345044
"31","vH49",10089.1295049777,12394.2267542802,5747.50162179068,1131.0241968444,15301.1274282,13461.7835187117,0,6680.62979645984,45281,1674.82901000977,7705.093377179,52.5273068721951,2596.19100337791,35586.749870618,15981.4465265814,626.031223022415,831.749688,4103.24698889536,11050.388712,235790.907584255,0,58247.682696,140.425272,19873.5454735987,64185.151248,7212.097944,133.363849676178,443.016692439714,224.6642255903,4068.73224,0,2523.11960601264,10761.6357073233,1087.395696,3744.18012127291,365887.687248333,1777.36147936475,472.282816949324,9415.69452,3298.193568,4756.456008,24260.2528004953
"32","vH50",0,94.7370423261008,31.5517248,92.7041256,1829.8346598,0,0,323.095356,0,138.529003143311,0,0,0,0,0,0,0,0,0,27582.6384,0,0,0,0,0,0,17.0319024,0,0,0,0,0,0,0,41.4995616,150871.2793848,8.0449362,0,0,0,0,0
"33","vH51",0,1024.69991162315,0,0,0,0,0,0,0,34.4980001449585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","vH52",6234.57617937368,1953.76833983675,2196.2236880213,632.349228081267,9824.68611380551,6684.65140153374,1277.01895331501,11043.9258086204,21138,2952.16305541992,13626.1333335051,1587.96104701827,4751.92813606961,10689.4425529882,5991.30569369943,1088.52754146006,0,1277.52523030001,2860.56763354697,37427.8781316498,7184.66990357598,27298.8131177476,852.003111564715,10385.3824067422,28994.3658944187,35875.4182384077,5591.10845727041,335.058000528873,1418.45525562689,2039.56415327108,499.104046713852,3898.68056083222,9207.47842966906,1965.42595458456,3036.26468971338,86985.2323648928,1846.4430598519,554.906382731321,10121.4951738642,1393.74403099001,2009.654146239,9814.22990071323
"35","vH53",333.765333787528,2511.71376292191,285.417823124817,16.756442525003,0,2303.0274135892,8.76759177618663,522.371040605243,2101,362.983993530273,1246.37573674079,58.8160070962152,0.374814486276239,1884.59817042671,7151.24465597511,193.836940159086,0,136.983344291417,606.81409917192,5031.29278995369,304.908364280263,0,99.5964322986912,6575.08320197161,3765.53288132177,714.862613246595,87.6323049666641,528.136116645185,76.9355557867145,869.834305166754,214.314233438683,260.41009854977,1093.8641750919,215.422079142384,324.033709762654,0,164.955433481656,97.0024381240616,0,0,425.257839760188,2564.12950299213
"36","vI",18765.5555929356,10155.2014217974,3490.89808145151,1650.27421362083,27804.1002214212,33336.3294917238,1150.75206117577,3559.85085711985,46616,5423.76000976562,24075.8034147068,935.069960737645,3601.27690967984,37820.1381473938,19559.7960059912,8849.23408903681,0,2363.1716940908,5496.71101711458,182834.563985105,11163.7261579787,59566.9703268247,875.90605710426,41369.1229138959,119061.825883373,37971.1950758174,737.513088630831,475.722364349246,887.176659530678,21424.0313990676,979.980221675277,5534.68541044444,7949.58734519043,11948.3303637507,2792.0323185075,55690.6672783202,1061.82012546112,1493.63314966353,6763.10989582082,34518.7948000969,24395.144602717,32882.89341836
"37","vJ58",772.849365464286,84.7914138332337,165.219988763672,21.9624654827914,1660.94830954304,1541.745032805,492.350390900715,131.099851504755,33705,439.776000976562,1374.53558456414,16.0530864469318,411.253521557158,3846.92690221579,4099.1533824597,623.693078089496,0,49.2770533898149,415.877023550303,0,3581.10193009593,0,1015.94591839219,1293.83413125626,1440.8708400745,3720.42951516231,27.3722548258341,38.7117474843795,24.132571516399,175.994113819585,6.18626485147382,506.480379097866,441.408953446444,81.7356121732772,126.454532086936,0,40.988827465089,36.2934823531341,1226.18997091968,0,617.861144195803,983.744695085853
"38","vJ59_60",1029.48809186201,748.175138181222,258.646572326302,10.5473636418321,3957.29110400175,4281.28381866992,163.424542555588,483.720388407242,0,871.492004394531,5253.12881741363,63.5704698065971,130.294876016023,48846.0337195934,2022.79058226732,634.137171657357,0,171.90115470652,0,0,1730.92225606344,0,30.7238575601964,2431.1007153882,4500.6641565129,9565.05551022582,48.6027130474633,19.8063492568445,38.8640449195702,1150.26750273206,3.6622955079816,399.220397898694,768.89856363289,303.160824986338,214.226953355172,0,281.140495211788,178.523194381716,1285.01154682534,0,558.644876631304,2873.92698881496
